generation,N_shifts,logPrior,logLik,eventRate,acceptRate
30100000,8,-82.4321,-74.2412,4.16353,0.53575
30200000,3,-33.6911,-95.9331,1.32346,0.413
30300000,1,-16.3569,-102.812,1.47359,0.521
30400000,4,-40.6627,-94.6073,2.19199,0.582
30500000,4,-43.8198,-103.818,4.0058,0.528
30600000,1,-14.4866,-101.129,0.187361,0.506
30700000,1,-19.7547,-105.48,3.61273,0.445
30800000,2,-23.7929,-96.4497,0.668913,0.552
30900000,1,-14.9035,-102.72,0.946426,0.516091
31000000,2,-25.1015,-93.8142,0.95631,0.524
31100000,2,-23.9158,-97.4338,2.15256,0.511625
31200000,2,-23.6386,-98.504,2.07834,0.526
31300000,1,-14.6239,-103.06,0.359697,0.5335
31400000,1,-15.6687,-100.279,1.67873,0.521
31500000,3,-35.1038,-94.3707,2.82122,0.5415
31600000,1,-16.2254,-103.639,1.88963,0.543
31700000,2,-25.9327,-93.7184,0.814512,0.518
31800000,2,-25.8808,-100.865,1.32486,0.516
31900000,2,-22.3078,-101.229,0.798091,0.526
32000000,3,-32.6563,-98.3127,1.73993,0.503
32100000,6,-60.9773,-97.615,2.93082,0.538667
32200000,4,-43.2321,-94.4646,2.70603,0.530429
32300000,3,-31.3411,-97.5633,1.60925,0.535
32400000,1,-16.1736,-97.5084,1.78926,0.484
32500000,2,-24.3435,-100.785,0.940569,0.539444
32600000,4,-44.5963,-94.4488,3.40063,0.538
32700000,4,-46.2614,-89.3015,1.66422,0.531333
32800000,3,-33.2344,-100.688,0.371274,0.56
32900000,4,-41.6173,-91.5472,1.3592,0.518714
33000000,2,-23.4604,-106.611,0.896491,0.506
33100000,2,-23.6426,-99.883,1.34298,0.50325
33200000,1,-15.6824,-100.874,1.20454,0.48575
33300000,2,-25.664,-100.009,2.45676,0.519667
33400000,3,-36.577,-98.7833,1.66972,0.52
33500000,2,-28.0087,-103.283,3.6106,0.541
33600000,1,-23.2002,-98.1012,0.711802,0.535867
33700000,1,-19.2668,-102.207,2.65691,0.426
33800000,3,-37.1732,-90.4444,1.97835,0.516
33900000,2,-26.6672,-92.4782,1.18518,0.4815
