generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
6100000,Hydroptilidae,Micropterigidae,0,2.2519,0.0174817,0.0500964,0
6100000,Sesiidae,NA,2.66472,21.4926,0.587977,13.1913,0
6100000,Psychidae,Dryadaulidae,1.58211,9.19676,-0.266439,0.156437,0
6200000,Hydroptilidae,Micropterigidae,0,2.13857,0.539342,0.893411,0
6200000,Psychidae,Dryadaulidae,1.55128,7.53642,-0.0621073,0.0424791,0
6300000,Hydroptilidae,Micropterigidae,0,3.12707,-0.0856966,0.0476123,0
6300000,Eriocraniidae,NA,2.82519,2.57131,0.126115,7.66961,0
6300000,Psychidae,Dryadaulidae,1.54851,6.02409,0.228781,0.209914,0
6400000,Hydroptilidae,Micropterigidae,0,2.19875,0.127188,0.200184,0
6400000,Heterobathmiidae,NA,1.74421,14.8562,-0.298727,15.1911,0
6400000,Roeslerstammiidae,Urodidae,1.78232,13.378,-0.647348,0.161899,0
6500000,Hydroptilidae,Micropterigidae,0,3.41218,-0.124005,0.377832,0
6500000,Lacturidae,NA,2.96263,0.811288,-0.28567,0.231746,0
6500000,Roeslerstammiidae,Urodidae,1.79539,15.2673,-0.73574,1.28503,0
6600000,Hydroptilidae,Micropterigidae,0,2.19307,0.12951,0.0795016,0
6600000,Dalceridae,NA,2.6328,25.425,-0.530058,23.9397,0
6600000,Immidae,Sesiidae,1.91716,13.2497,-0.587818,0.867292,0
6600000,Meessiidae,Psychidae,1.36113,6.1435,-0.0494554,0.328915,0
6700000,Hydroptilidae,Micropterigidae,0,1.57573,0.289918,0.00612766,0
6700000,Psychidae,Dryadaulidae,1.62325,9.21728,-0.284203,0.102466,0
6800000,Hydroptilidae,Micropterigidae,0,2.87226,-0.499818,0.431859,0
6800000,Hydroptilidae,Hydropsychidae,0.441833,7.68523,-0.550631,0.366214,0
6800000,Roeslerstammiidae,Urodidae,1.78995,12.2239,-0.590881,0.00135177,0
6800000,Opostegidae,Andesianidae,0.795562,6.69399,-0.362813,1.04201,0
6900000,Hydroptilidae,Micropterigidae,0,2.59271,-0.120927,0.118293,0
6900000,Hydroptilidae,Hydropsychidae,0.425976,14.3002,-0.0937031,9.49037,0
6900000,Lacturidae,NA,2.84205,7.36218,0.686009,7.35313,0
